concept_id,concept_name,short_definition,role_in_ipac,maturity_status,related_need,related_architecture_invariant,related_hypothesis,risks,import_status
CON-IPAC-001,IPaC / Information Production as Code,"A conceptual system for making living complex meaning manageable, portable, verifiable and executable as knowledge.",Core naming frame and conceptual container for the whole system.,stable,"IPaC нужен, чтобы живой сложный смысл стал управляемым, переносимым, проверяемым и исполнимым знанием.","Architecture of IPaC is the stable living knowledge circuit, not channels, launches or documents.",Output became cheap; meaning became the bottleneck / organizations need information production engineering.,concept inflation; terminology fog; false maturity,import_to_concept_core
CON-IPAC-002,Living Meaning / Живой смысл,"Human-originated sense, intention, intuition, question or tension before and during formalization.",Source material of the knowledge lifecycle; what must not be killed by documentation.,stable,Need to preserve living complex meaning while making it manageable.,Human Subject and Knowledge Clump integrity; do not break living meaning into dead documentation.,"Living knowledge requires use, feedback and rebuild.",metaphor overload; terminology fog,import_to_glossary
CON-IPAC-003,Knowledge Clump / Знаниевый сгусток,"A structured and emergent knowledge formation containing artifacts, context, decisions, trace, feedback and implicit meaning.",Central object of IPaC; more than a collection of files.,stable,Need to keep living meaning coherent and portable.,Knowledge Clump is a core entity; artifact is only its projection.,Knowledge Clumps are more than document collections.,concept inflation; false maturity if not operationalized,import_to_concept_core
CON-IPAC-004,Knowledge Artifact / Знаниевый артефакт,"An explicit portable expression of a Knowledge Clump: document, prompt, scheme, register, status file, glossary, package or map.","Makes parts of the Knowledge Clump transferable, inspectable and reusable.",stable,Need to make complex meaning portable and manageable.,Knowledge Artifact is a core entity and projection of the Knowledge Clump.,Artifacts must be bootable and portable.,document proliferation; confusing artifact with clump,import_to_glossary
CON-IPAC-005,Canon / Канон,"The current accepted state of definitions, formulas, decisions, boundaries and stable project knowledge.",Holds the accepted layer of knowledge that can guide continuation.,stable,"Need for continuity, trust and non-loss of meaning.",Canon is a core entity connected to Trace.,Review-before-canon prevents premature changes.,premature canonization; false maturity,import_to_concept_core
CON-IPAC-006,Trace / След / Трасса,"The preserved history of how knowledge, decisions, artifacts and status changes emerged and changed.","Preserves provenance, decision context and recoverability.",stable,Need to avoid hidden context debt and preserve transferability.,Canon ↔ Trace relationship; do not separate accepted knowledge from change history.,Artifacts must be bootable and portable.,hidden context debt if lost; overhead if overdone,import_to_concept_core
CON-IPAC-007,Feedback / Обратная связь,Raw response from use or environment that may become evidence after preservation and review.,Connects knowledge with reality and possible learning.,stable,"Need for verifiable knowledge, not only internal coherence.",Feedback / Evidence is a core entity; feedback flows to review before canon.,Feedback must be captured as raw evidence before interpretation.,false validation; treating feedback as conclusion,import_to_glossary
CON-IPAC-008,Review / Разбор / Ревью,"A disciplined examination of feedback, artifacts, hypotheses or changes before decisions or canon updates.",Prevents raw reactions and attractive ideas from becoming canon too early.,stable,Need to make knowledge verifiable and controlled.,Feedback → Review → Canon relationship.,Review-before-canon prevents premature changes.,bureaucracy if too heavy; false authority if too light,import_to_glossary
CON-IPAC-009,Decision / Решение,"A deliberate accepted choice about canon, route, status, boundary or next knowledge state.",Turns reviewed material into controlled project state changes.,stable,Need for managed and traceable knowledge evolution.,Governance: preserve trace for meaningful state changes.,No canon update without review.,decision inflation; undocumented decisions,import_to_glossary
CON-IPAC-010,Controlled Rebuild / Управляемая пересборка,"A traceable update of canon, artifacts or concept state based on reviewed evidence and decisions.",Allows living knowledge to change without losing continuity.,emerging,Need to keep knowledge alive and revisable.,Rebuild invariant; living knowledge can rebuild based on reviewed evidence and trace.,"Living knowledge requires use, feedback and rebuild.",architecture creep; uncontrolled rewrite,import_to_glossary
