risk_id,risk_name,description,manifestation_in_ipac,vulnerable_sources,affected_phase2_phase3r_elements,protection_rule
RR-IPAC-001,Analogy Overreach,Analogy expands into proof.,"Software engineering, Xanadu, expert systems treated as direct evidence.","Xanadu, software lineage, expert systems",Knowledge Clump; IPaC; Meaning Bottleneck,State what analogy supports and what it does not.
RR-IPAC-002,Authority Borrowing,Authority of name/source used as proof.,"Karpathy, Brooks, Dijkstra, Nelson references overused.",Karpathy; Brooks; Dijkstra; Nelson,Hypotheses about IPaC validity,Do not raise hypothesis status from source prestige.
RR-IPAC-003,Historical Romanticism,Historical parallels romanticized as destiny.,Xanadu/software crisis lineage over-read.,Xanadu; software crisis,IPaC as new discipline,Keep historical parallels as parallels unless researched deeply.
RR-IPAC-004,Tool-driven Conclusions,Tool availability drives conceptual conclusions.,"Obsidian, Git, Neo4j, MCP, Codex become concept drivers.",Obsidian; Git; Neo4j; MCP; Codex,Source-of-truth; Context Pack; execution hypotheses,Tool signal ≠ conceptual proof.
RR-IPAC-005,Concept Confirmation Bias,Sources interpreted only to support IPaC.,All research tracks become evidence.,All sources,Phase 2 concept core and Phase 3R hypotheses,Record limitations and contradictions.
RR-IPAC-006,Speculative Synthesis,Weak signals fused into strong theory.,"Protein-silicon, semantic superconductivity, living-system metaphors.",Speculative metaphors,Speculative concepts,Mark as speculative or parked.
RR-IPAC-007,Field Validation Confusion,Research support mistaken for field validation.,Artifact-supported findings called externally validated.,All findings,Meaning Bottleneck; MVI; Knowledge Clump,Use validation ladder explicitly.
RR-IPAC-008,Source Inflation,Mentioned source upgraded to conceptual support.,Only-mentioned items become evidence.,Karpathy; MCP; RAG/Neo4j,Research map credibility,Mentioned remains mentioned until checked.
RR-IPAC-009,Name-dropping,Names replace argumentation.,Famous researchers/tools become shortcuts.,Named sources,Research map credibility,Require finding and limitation for every source.
RR-IPAC-010,Research-as-Delay,More research delays field learning.,Deep research expands endlessly before field contact.,Open research threads,Execution hypotheses; field evidence needs,Separate research gaps from execution candidates.
