id,title,formulation,need,invariant,category,category_normalized,status,normalized_status,evidence_scope,field_validation_status,confidence,dangerous,normalization_action,evidence,assumptions,risks,validate,falsify,normalization_note
HYP-IPAC-001,Output became cheap; meaning became the bottleneck,"AI lowers the cost of producing outputs, but does not automatically solve meaning, context, decision quality or actionability.","Phase 1 need: make living meaning manageable, portable and executable knowledge.","AINV-IPAC-001, AINV-IPAC-002, AINV-IPAC-011",Core hypotheses,core,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium-high,no,accepted_core_candidate,The formula 'AI made output cheap. Now meaning is the bottleneck' became a repeated organizing formula across the dialogue and concept artifacts.,External audiences will also recognize output abundance as insufficient without meaning production discipline.,May be too abstract or too broad for first public understanding.,Target readers independently recognize the bottleneck and provide concrete cases or objections that map to meaning production.,"Target readers understand AI-output abundance but do not see meaning as the central bottleneck, or consistently identify a different bottleneck.",no special normalization note
HYP-IPAC-002,Organizations need information production engineering,"Organizations need an engineering discipline for producing, validating, updating and reusing knowledge outputs, not only AI-assisted drafting.",Need for a system of living knowledge circulation and engineering-managed information production.,"AINV-IPAC-001, AINV-IPAC-018, AINV-IPAC-025",Research hypotheses,research,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium,yes,accepted_candidate_with_risk_flag,"The discussion repeatedly contrasted IPaC with ordinary documents, content operations, knowledge management and project management.",Organizations will feel the pain strongly enough to seek a new discipline or operating model.,May overlap with existing fields and be perceived as repackaging knowledge management or content operations.,Executives or operators identify the same gap and ask for a system beyond AI writing and knowledge storage.,Existing knowledge/content operations frameworks already satisfy the need in real organizational contexts.,risk flag: requires explicit review before promotion
HYP-IPAC-003,Knowledge Clumps are more than document collections,"A Knowledge Clump is a structured and emergent knowledge formation containing artifacts, context, decisions, trace, feedback and implicit meaning.",Need to preserve living meaning rather than just files.,"AINV-IPAC-002, AINV-IPAC-007, AINV-IPAC-014",Core hypotheses,core,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,"The concept was repeatedly defined, used in artifacts and contrasted with folders, archives and frames.",The distinction remains meaningful when moved into tooling and external explanation.,Could become vague if metadata and lifecycle requirements are not operationalized.,Another Project or agent can use the concept to reconstruct context and preserve relations better than a document folder.,The concept collapses into ordinary archive/folder behavior in practice.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-004,"Living knowledge requires use, feedback and rebuild","Knowledge becomes living when it circulates through use, receives feedback, is reviewed, and can update canon and trace.",Need for a system of living knowledge circulation.,"AINV-IPAC-002, AINV-IPAC-019, AINV-IPAC-025",Core hypotheses,core,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,"Living Knowledge and knowledge lifecycle diagrams consistently include use, feedback, review and rebuild.",Feedback and trace are sufficient minimum mechanisms for liveliness in the IPaC sense.,Could be overextended into a quasi-biological metaphor if not kept operational.,"Reviewed feedback changes artifacts, decisions or projections while preserving trace.",Knowledge artifacts can remain equally useful without feedback/review/trace loops.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-005,Living knowledge circulation is a better system boundary than document workflow,"IPaC should be bounded as a system of living knowledge circulation, not document workflow.",Need to avoid reducing the project to document management.,"AINV-IPAC-001, AINV-IPAC-002",Architectural hypotheses,architecture,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,The user explicitly rejected document workflow as too narrow; Phase 1 and Phase 4 stabilize the boundary.,The living knowledge boundary can be communicated without becoming too abstract.,Public wording may sound less familiar than document workflow or knowledge management.,The boundary helps new agents and readers avoid wrong reductions.,Users consistently need document workflow framing to understand or use the system.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-006,IPaC can be understood as a specialized operating system,IPaC can be framed internally as a specialized operating system for information production as code.,"Need for bootability, runtime, status, governance and continuity.","AINV-IPAC-018, AINV-IPAC-020, AINV-IPAC-023",Architectural hypotheses,architecture,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium-high,yes,accepted_candidate_with_risk_flag,"The SOS metaphor generated productive internal structures: boot, runtime, dashboard, status, recovery and mentor layer.",The operating-system metaphor clarifies rather than distorts the project.,May be too heavy or misleading for external audiences.,The metaphor helps new Project boot and helps agents understand boundaries and state.,"The metaphor causes confusion, overengineering or expectation of actual software OS functionality.",risk flag: requires explicit review before promotion
HYP-IPAC-007,Bootability is essential for continuity,"A project cannot be reliably moved across plans, Projects or agents by files alone; it needs boot sources, instructions, status recovery and recovery commands.",Need to port living knowledge without losing context.,"AINV-IPAC-018, AINV-IPAC-020, AINV-IPAC-031",Architectural hypotheses,architecture,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,"Portation produced Mentor Layer, Boot Protocol, First Boot Message and recovery criteria.",A disciplined boot pack can restore enough context for continuation.,Boot packs may become too large or stale.,A new Project produces correct current_status / execution_mode / one_next_action from the boot package.,New Project repeatedly starts from zero or misreads status despite boot sources.,"validated means artifact/internal validation, not external field validation"
HYP-IPAC-008,AI Mentor Layer can preserve intersubjective collaboration,"An AI Mentor Layer can transmit the mode of work: intersubjectivity, anti-generic behavior, boot, handoff, execution pivot and role boundaries.",Need to transfer not only files but interaction mode.,"AINV-IPAC-004, AINV-IPAC-006, AINV-IPAC-013",Architectural hypotheses,architecture,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium,yes,accepted_candidate_with_risk_flag,"AI Mentor Layer was defined, packaged and accepted as a continuity layer.",A prompt and source package can preserve interaction mode across environments.,Interaction quality may depend on accumulated conversation history and not fully transfer.,"New Project enters the intended role, avoids generic answers and maintains human-AI separation.",New Project remains generic or becomes directive despite Mentor Layer.,risk flag: requires explicit review before promotion
HYP-IPAC-009,Intersubjectivity improves human-AI creative engineering,"The most productive mode is creative intersubjectivity: human provides living intention, AI provides structure and operationalization.",Need to preserve living human sense while making it operational.,"AINV-IPAC-013, AINV-IPAC-028, AINV-IPAC-029",Core hypotheses,core,partially supported,partially_supported_inside_recovery_context,internal-dialogue-supported,not_field_tested,medium,yes,accepted_candidate_with_risk_flag,"The dialogue produced coherent artifacts, schemes and decisions through this mode, and the user confirmed the mode as valuable.",This mode is reproducible beyond this specific chat.,May become personality-dependent or prompt-dependent.,New Project or another AI reproduces the constructive collaboration pattern using the Mentor Layer.,Other environments cannot reproduce it and default to command-response or generic consulting.,risk flag: requires explicit review before promotion
HYP-IPAC-010,Human subjecthood must remain non-transferable,"AI can guide methodology, but the human must retain intent, authorship, strategic judgement and final acceptance.",Need to protect the living source of meaning.,"AINV-IPAC-004, AINV-IPAC-028, AINV-IPAC-029",Core hypotheses,core,validated,validated_inside_recovery_context,artifact-supported,not_field_tested,high,no,accepted_core_candidate,The boundary was explicitly formulated in the AI Mentor Layer and Phase 4 invariants.,Clear instructions can enforce this boundary in multi-agent workflows.,"As agents become more autonomous, role drift can occur.",Agents consistently ask for human decisions where meaning/strategy is involved.,Agents start making strategic canon decisions or appropriating authorship.,"validated means artifact/internal validation, not external field validation"
