lesson_id,category,lesson_title,lesson_statement,evidence_from_old_work,risk_if_ignored,prevention_rule,related_phase,severity,confidence,import_status
LL-IPAC-001,process,High creative resonance works only when followed by artifact fixation,"The old work was strongest when live conceptual breakthroughs were immediately converted into explicit artifacts, registers, prompts, diagrams or status records.","Concepts such as AI Mentor Layer, Execution Pivot, Knowledge Clump and Architecture Invariants became usable only after being fixed as portable blocks or ZIP packages.","Strong insights remain trapped in chat flow and are later confused with memory, decisions or canon.","If a breakthrough changes project state, create or update a named artifact with ID, status, scope and next route.",all phases,critical,high,import_to_system_discipline
LL-IPAC-002,process,Long chat becomes unstable as source-of-truth,"A long chat can support exploration, but becomes unreliable as source-of-truth once many decisions, versions and corrections accumulate.",The same Phase 4 label was first used for execution and later corrected to Architecture Invariants; this required explicit recovery and reclassification.,"New Project inherits naming conflicts, obsolete artifacts and false continuity.","After each major turn, update artifact status and maintain supersedes/reclassifies notes.",Phase 4,critical,high,import_to_project_rules
LL-IPAC-003,process,Stopped thinking / interrupted generation must trigger restart discipline,"When generation stops or is interrupted, the next turn must resume from the exact requested artifact rather than reframe the task.",The user had to prompt 'двигай вперед' and 'работай' after stopped thinking events.,The model may abandon the requested artifact and drift into explanation or meta-commentary.,"On interruption, restate artifact target and continue producing the required package.",recovery / artifact generation,medium,high,import_to_recovery_notes
LL-IPAC-004,process,Strong synthesis can create false coherence,The model can produce a coherent-looking structure that sounds right while mixing levels or over-promoting untested ideas.,"The initial Phase 4 Execution Artifact was coherent and useful, but mismatched the later required Phase 4 Architecture Invariants layer.",A polished artifact may be accepted as the right layer simply because it is internally coherent.,"Before accepting an artifact, check phase, layer, scope and prohibited content against the prompt.",Phase 4,high,high,import_to_project_rules
LL-IPAC-005,process,Context drift appears when artifact numbering becomes a substitute for layer definition,Document numbers and phase labels can drift unless their layer meaning is explicitly fixed.,"Phase 3 existed as simple registry, then extended registry, and Phase 4 shifted from execution to architecture invariants.",The project accumulates artifacts with the same labels but different meanings.,"Every phase artifact must include artifact_type, scope, exclusions, supersedes/reclassifies and accepted context.",Phase 3 / Phase 4,high,high,import_to_system_discipline
LL-IPAC-006,process,User corrections are high-value process signals,"When the user corrects the layer, scope or category, that correction must be treated as process evidence, not just a local edit.",The correction that Phase 4 must be Architecture Invariants revealed a systemic need to separate architecture from execution.,The same error repeats in later phases.,"Promote major corrections into Lessons Learned, normalization notes or project rules.",Phase 4 / Phase 8,critical,high,import_to_system_discipline
LL-IPAC-007,process,Semantic dilution appears when terms become too generative,Powerful terms can spread across layers and become diluted if not tied to explicit roles and statuses.,"Terms such as operating system, mentor, amplifier, living system and icebreaker were productive but needed later normalization.",Concepts become emotionally strong but operationally vague.,"For every powerful term, define whether it is concept, invariant, hypothesis, metaphor, execution candidate or parked source.",Phase 2 / Phase 3 / Phase 4,high,high,import_to_project_rules
LL-IPAC-008,process,Artifact packages improved portability,"ZIP packages with README, MANIFEST, status and registers reduced hidden context debt and enabled portation.","Need, Concept, Hypothesis Registry, Architecture Invariants and Mentor Layer were all made portable.",New Project cannot reconstruct current status or artifact relationships.,"Every accepted artifact package must include README, MANIFEST, status JSON and machine-readable register if applicable.",all phases,high,high,import_to_system_discipline
LL-IPAC-009,process,The process needs phase discipline before content production,The model must verify what phase and layer the user is asking for before producing large content.,Phase 4 was initially interpreted as execution because earlier context was execution-heavy; later the user specified Architecture Invariants.,A large artifact may be well-written but wrong for the requested phase.,"Before generating a phase artifact, lock: phase name, artifact type, exclusions and allowed source scope.",Phase 4 / Phase 8,critical,high,import_to_project_rules
LL-IPAC-010,level-mixing,Execution was temporarily mistaken for architecture,"Execution artifacts, dashboards and MVI mechanics were initially placed under Phase 4, but Phase 4 was later corrected to Architecture Invariants.",User explicitly stated that the earlier Phase 4 Execution Artifact was valuable but not the current architecture phase.,Temporary execution choices become architectural canon.,"Any element involving channels, launch, MVP, dashboard or day-by-day sequence must be marked execution candidate unless abstracted into an invariant.",Phase 4,critical,high,import_to_project_rules
