id,category,title,confidence,description,stable_evidence,not_to_break,execution_candidate_note
AINV-IPAC-001,Core system boundaries,"IPaC boundary: information production, not generic document management",high,"IPaC is bounded around production, preservation, validation, circulation and evolution of living knowledge. It is not document workflow, content publishing or task management.",Need/Concept artifacts repeatedly distinguish living knowledge circulation from document workflow.,"Do not reduce IPaC to document management, content operations, marketing workflow or task tracking.",
AINV-IPAC-002,Core system boundaries,Living knowledge boundary,high,"The core object is living knowledge: knowledge with context, use, feedback, review, canon update potential and trace.",Knowledge Clump and Living Knowledge repeatedly serve as core concepts.,Do not treat files as the primary object and knowledge as a byproduct.,
AINV-IPAC-003,Core system boundaries,Architecture vs execution boundary,high,Stable internal invariants must be separated from temporary execution choices.,"User explicitly corrected Phase 4: architecture invariants, not execution plans, MVPs or publication mechanics.",Do not canonize execution mechanisms as architectural core.,"Specific channels, dashboards, publication waves and launch plans are execution candidates."
AINV-IPAC-004,Core system boundaries,Human-AI collaboration boundary,high,"AI is included as methodological guide and continuity layer; the human remains the subject carrying intent, authorship and final judgement.",AI Mentor Layer established this boundary.,Do not transfer authorship or final strategic judgement from human to AI.,
AINV-IPAC-005,Core entities,Human Subject,high,"Human Subject carries living intention, intuition, direction, judgement, authorship and the final 'то / не то' evaluation.",Intersubjectivity and AI Mentor Layer repeatedly define this role.,Do not remove human subjecthood from meaning and strategic decisions.,
AINV-IPAC-006,Core entities,AI Mentor / Methodological Guide,high,"AI Mentor holds frameworks, formal schemes, boot/handoff/recovery discipline and helps convert living intent into structured artifacts.",AI Mentor Layer pack and mentor discussion.,"Do not let AI Mentor become guru, commander or author-substitute.",
AINV-IPAC-007,Core entities,Knowledge Clump / Знаниевый Сгусток,high,"Central knowledge formation: artifacts plus context, history, decisions, links, use, feedback, implicit meaning and emergent potential.",Defined and reused as the core object of IPaC.,"Do not flatten Knowledge Clump into a folder, summary, archive or single document.",
AINV-IPAC-008,Core entities,Knowledge Artifact,high,"Explicit projections of the Knowledge Clump: documents, prompts, schemas, registers, status files, maps, diagrams and packages.",Every phase produces portable artifacts with README/MANIFEST/status/registers/maps.,Do not confuse artifact with the whole Knowledge Clump.,
AINV-IPAC-009,Core entities,Canon,high,"Current accepted state of definitions, formulas, decisions, routes, boundaries and stable project knowledge.","Canon appears as memory spine for continuity, boot, updates and trace.",Do not update canon directly from raw feedback or temporary excitement.,
AINV-IPAC-010,Core entities,Trace,high,"Preserved history of how knowledge, decisions, artifacts and status changes emerged, changed and were used.","Decision records, status files, Git/Obsidian trace and learning patches.","Do not lose decision history, source context or reasons for change.",
AINV-IPAC-011,Core entities,Feedback / Evidence,high,Feedback is raw evidence from use or environment. It is not a conclusion or immediate command to change canon.,"Feedback as Evidence and 'Raw first, interpret later'.","Do not treat likes, silence, comments or reactions as conclusions without review.",
AINV-IPAC-012,Core entities,Projection,medium-high,"Outward or inward expression of a Knowledge Clump into a specific form, audience, context or use. Channels are carriers; projection is the invariant.",Repeated distinction between core clump and channel outputs/artifacts.,Do not make any one projection equal to the core concept.,Specific external channels are execution candidates.
AINV-IPAC-013,Stable relationships,Human Subject ↔ AI Mentor,high,"Intersubjective collaboration: human gives intent and judgement; AI gives structure, frameworks, trace discipline and artifact generation.",Intersubjectivity and mentor discussions stabilize this relation.,Do not collapse into command-response or autonomous AI control.,
AINV-IPAC-014,Stable relationships,Knowledge Clump → Artifact,high,"Artifacts are projections, carriers and operational surfaces of the Knowledge Clump, not substitutes for it.","Thread exports, phase artifacts, prompt packs and diagrams serve as projections.",Do not let artifact production replace knowledge continuity.,
AINV-IPAC-015,Stable relationships,Feedback → Review → Canon,high,"Feedback must be preserved, reviewed and only then potentially routed into canon or next projection decisions.",Established as raw feedback → evidence/noise separation → review → decision → trace.,Do not update canon from unreviewed feedback.,Specific numbered protocols are execution/governance implementations.
AINV-IPAC-016,Stable relationships,Canon ↔ Trace,high,Canon holds current accepted state; trace records how that state came to be and changes.,"Decision records, status files, Git/Obsidian trace and learning patches.",Do not separate accepted knowledge from its change history.,
AINV-IPAC-017,Information flows,Living impulse to structured artifact flow,high,"A recurring flow turns living impulse into formula, structure, artifact, status and next route.",Repeated pattern: impulse → formula → block → package → status.,Do not skip formulation and status fixation.,
AINV-IPAC-018,Information flows,Artifact to bootable context flow,high,"Artifacts must be packaged so another Project, plan or agent can recover context: README, MANIFEST, status, registers and primary docs.",Every major package used this structure; bootability became stable.,Do not create non-portable artifacts without orientation/status layers.,
AINV-IPAC-019,Information flows,Feedback to learning flow,high,"Raw feedback flows into evidence preservation, classification, review, decision candidates and trace before becoming learning.",Feedback discipline repeatedly fixed this flow.,Do not transform reaction directly into learning.,
