term,risk,possible_misunderstanding,needs_clarification,keep_as_working_term,replace_needed,park_needed
Living Meaning,Too philosophical / metaphorical.,May be read as vague emotion or spirituality.,yes,"yes, working term",no,no
Knowledge Clump,Unusual term; may sound awkward in English.,May be read as folder/archive/blob.,yes,"yes, working term",maybe later,no
Canon,May sound religious or rigid.,May imply frozen dogma.,yes,"yes, working term",no,no
Trace,Technical but useful.,May be confused with logging only.,yes,yes,no,no
Controlled Rebuild,May sound engineering-heavy.,May be read as rewrite instead of governed update.,yes,yes,no,no
Projection,Abstract and multi-meaning.,May be confused with psychological projection or media channel.,yes,yes,maybe,no
Intersubjectivity,Philosophical / academic.,May be too heavy for public audience.,yes,internal working term,maybe public substitute,park public use
Resonance,Strong but metaphorical.,May become mystical/marketing language.,yes,working metaphor,maybe,park public use unless clarified
Knowledge Artifact,Stable but broad.,May be read as any document.,yes,yes,no,no
Source-of-truth,Known term but can overpromise authority.,May imply single rigid location.,yes,yes,no,no
